,base_market,quote_market,hedge_ratio,half_life
85,ALGO-USD,1INCH-USD,0.384130250898063,6.0
86,XMR-USD,AVAX-USD,15.354987324629016,10.0
87,SUSHI-USD,LTC-USD,0.008987932270104177,7.0
88,SUSHI-USD,UNI-USD,0.1332911739162434,3.0
89,SUSHI-USD,1INCH-USD,2.24015545621319,3.0
90,DOT-USD,DOGE-USD,66.57987019203478,4.0
91,DOT-USD,LTC-USD,0.06262020751390444,2.0
92,DOT-USD,UNI-USD,0.9285919578589149,5.0
93,DOT-USD,1INCH-USD,15.605853785927009,10.0
94,DOGE-USD,LTC-USD,0.0009404778929606164,4.0
95,LTC-USD,UNI-USD,14.828504311585458,9.0
96,LTC-USD,1INCH-USD,249.20864981672838,14.0
97,UNI-USD,1INCH-USD,16.806337918531135,3.0
98,MATIC-USD,AVAX-USD,0.05833347966253965,19.0
99,MATIC-USD,ETH-USD,0.0003372864931625874,15.0
